dt,cos,sin,angle,angular_vel
0.0,0.9585311733554118,0.28498770097303755,0.28899359703063965,0.08053221553564072
0.01,0.9580954399579185,0.28644917163755707,0.2905186414718628,0.21147727966308594
0.02,0.9572783855190247,0.28916793151746534,0.2933575212955475,0.34332117438316345
0.03,0.9560657033450058,0.2931524703757745,0.29752251505851746,0.4766428768634796
0.04,0.9544362210940441,0.2984149792884415,0.3030315339565277,0.612025260925293
0.05,0.9523614486753953,0.3049715906062439,0.30990859866142273,0.7500579953193665
0.06,0.9498053514808716,0.31284148429883435,0.31818321347236633,0.8913378715515137
0.07,0.9467235043845482,0.3220475217197616,0.32789143919944763,1.0364717245101929
0.08,0.9430627181983363,0.33261495688613485,0.3390750586986542,1.186077356338501
0.09,0.9387601181952969,0.34457138663265724,0.3517821729183197,1.340783715248108
0.1,0.9337421646724342,0.3579463226698059,0.3660675585269928,1.501233696937561
0.11,0.9279239598569122,0.3727695329871629,0.3819918930530548,1.6680824756622314
0.12,0.9212076207464938,0.38907135525322867,0.399623304605484,1.8420019149780273
0.13,0.9134817058034957,0.40687980186086353,0.41903573274612427,2.0236740112304688
0.14,0.9046191460491257,0.42622083548478773,0.4403110146522522,2.213793992996216
0.15,0.894476554717207,0.4471148544403724,0.46353721618652344,2.4130666255950928
0.16,0.8828923611992043,0.4695754236926094,0.48880982398986816,2.6222052574157715
0.17,0.8696854876483681,0.4936062728266529,0.5162315368652344,2.841932773590088
0.18,0.8546541237193235,0.519197774272536,0.5459120273590088,3.0729618072509766
0.19,0.837574538719129,0.5463230656758309,0.5779679417610168,3.3160006999969482
0.2,0.8181997465091062,0.5749340612734944,0.6125235557556152,3.571744680404663
0.21,0.7962594496850816,0.6049552783365156,0.6497097015380859,3.8408589363098145
0.22,0.7714599198352008,0.6362779204780452,0.6896638870239258,4.123963356018066
0.23,0.7434857174665529,0.6687518133980984,0.7325286865234375,4.42162561416626
0.24,0.7120012514100322,0.7021781953254801,0.7784521579742432,4.734331130981445
